"IV","DV","beta","se","CI_low","CI_high","t","df_error","p","p.adj"
"DaysDriving","LIFESATISFACTION",0.000804839962248911,0.0184201083762077,-0.0353144937290221,0.0369241736535199,0.043693551949373,2636,0.965151988477604,1
"Miles_n","LIFESATISFACTION",0.0103574442186682,0.0193794521522356,-0.0276430324747663,0.0483579209121026,0.534454954521165,2636,0.593071879406282,1
"Trips","LIFESATISFACTION",0.00336945814218284,0.0184770354246707,-0.0328615017685163,0.039600418052882,0.182359240253656,2636,0.855314833548612,1
"TripMinutes_n","LIFESATISFACTION",-0.0251134577720428,0.0190568982125933,-0.0624814499468507,0.0122545344027651,-1.31781455155421,2636,0.187680249187117,1
"TripChains","LIFESATISFACTION",-0.0292666594940733,0.0189322794044164,-0.0663902910915806,0.00785697210343396,-1.54586031976933,2636,0.12225834450374,1
"MilesPerTrip_n","LIFESATISFACTION",0.0352707074863022,0.0194652730016646,-0.00289805225058041,0.0734394672231849,1.81198113601007,2636,0.0701028552411772,1
"MinutesPerTrip_n","LIFESATISFACTION",-0.0184421179002709,0.0189221291568259,-0.0555458462392152,0.0186616104386733,-0.974632280935374,2636,0.329832124256144,1
"MilesPerChain_n","LIFESATISFACTION",0.0685655592970485,0.0189219948453417,0.0314620943247044,0.105669024269393,3.6235904225462,2636,0.000296032832402109,0.0852574557318074
"MinutesPerChain_n","LIFESATISFACTION",0.032514104439163,0.0185842845954744,-0.00392715654627778,0.0689553654246037,1.74954834941996,2636,0.0803126428599162,1
"Average_speed","LIFESATISFACTION",0.114358096624325,0.0216687388756962,0.0718686392261696,0.156847554022481,5.27756124988843,2636,0.00000014156888311025,0.000040771838335752
"LeftTurnCount","LIFESATISFACTION",-0.00939989520332703,0.0189763418473047,-0.0466099272739168,0.0278101368672627,-0.495348117090448,2636,0.620395700501544,1
"RightToLeftTurnRatio_n","LIFESATISFACTION",-0.035290918451467,0.0205430651129484,-0.0755730823074896,0.00499124540455554,-1.71789936201988,2636,0.0859324132039982,1
"TripsAMPeak","LIFESATISFACTION",0.0727173402563065,0.0184736724949726,0.036492974594537,0.108941705918076,3.93626877796473,2636,0.0000848998489578588,0.0244511564998633
"PercentTripsAMPeak_n","LIFESATISFACTION",0.103904903489812,0.0185217135027744,0.0675863359288882,0.140223471050735,5.60989691770404,2636,0.0000000223526216044089,0.00000643755502206976
"TripsPMPeak","LIFESATISFACTION",-0.0553634815051981,0.0187314362304405,-0.0920932868845155,-0.0186336761258806,-2.9556453025864,2636,0.00314782606125141,0.906573905640405
"PercentTripsPMPeak_n","LIFESATISFACTION",-0.100170222902503,0.0186401990344022,-0.136721124517442,-0.0636193212875645,-5.37388161562171,2636,0.0000000838033415588206,0.0000241353623689403
"TripsAtNight","LIFESATISFACTION",-0.0461490835031475,0.0193554998300891,-0.0841025929421761,-0.00819557406411893,-2.38428787209134,2636,0.0171825564856911,1
"PercentTripsAtNight_n","LIFESATISFACTION",-0.0345842444831796,0.019442138641404,-0.0727076408779517,0.00353915191159243,-1.77882922866978,2636,0.0753829787937657,1
"TripsLt15Miles","LIFESATISFACTION",0.00491226631155321,0.01848231094974,-0.0313290381881399,0.0411535708112463,0.265782040184878,2636,0.79042786039662,1
"PercentDistLt15Miles_n","LIFESATISFACTION",-0.00377324795372735,0.0197162244599723,-0.0424340894567865,0.0348875935493319,-0.191377814823916,2636,0.848244339228357,1
