subject,fold_reduced,error_reduced,best_alpha_reduced,fold_full,error_full,best_alpha_full,diff
1,8.0,0.43934676422508384,45.46,8.0,0.7432135702581686,43.44,0.30386680603308475
2,2.0,0.1198809985463727,47.48,2.0,0.08896665542728759,54.55,-0.030914343119085114
3,4.0,0.630828725086541,46.47,4.0,0.6773725727389943,57.58,0.04654384765245334
4,8.0,0.0661310048139365,45.46,8.0,0.17205500562335732,43.44,0.10592400080942083
5,1.0,0.5132642011851876,45.46,1.0,0.12871869475788517,49.5,-0.3845455064273024
6,4.0,0.0055240580615049115,46.47,4.0,0.012667052248346697,57.58,0.007142994186841786
7,2.0,0.6414409829206731,47.48,2.0,0.5319920159481117,54.55,-0.10944896697256135
8,8.0,3.755943721500722e-05,45.46,8.0,0.007922293614511095,43.44,0.007884734177296088
9,5.0,2.4877334446388275,43.44,5.0,1.6172307322921151,51.519999999999996,-0.8705027123467124
10,0.0,6.375976331403258,46.47,0.0,5.677824450945753,60.61,-0.6981518804575053
11,1.0,0.29756914888682395,45.46,1.0,0.12013128527545124,49.5,-0.1774378636113727
12,2.0,2.245934222655911,47.48,2.0,2.2090969468284767,54.55,-0.03683727582743446
13,7.0,1.6775031102804374,45.46,7.0,2.278234165901179,56.57,0.6007310556207415
14,5.0,0.3222749722470987,43.44,5.0,0.3391580964203107,51.519999999999996,0.016883124173211972
15,1.0,0.26041643385740854,45.46,1.0,0.2970065737346773,49.5,0.03659013987726878
16,3.0,0.6226653884840043,48.49,3.0,0.27413978840203634,58.589999999999996,-0.348525600081968
17,5.0,0.318822848775848,43.44,5.0,0.32590130586146543,51.519999999999996,0.00707845708561744
18,2.0,0.6059984953987344,47.48,2.0,0.6278160715723016,54.55,0.021817576173567166
19,2.0,3.738220619672673,47.48,2.0,3.6254287727042875,54.55,-0.11279184696838529
20,4.0,0.12160847449764067,46.47,4.0,0.0800144253493531,57.58,-0.04159404914828757
21,2.0,1.2903891771249967,47.48,2.0,0.8321776717743946,54.55,-0.45821150535060207
22,8.0,1.0715358294667572,45.46,8.0,0.876778382893936,43.44,-0.19475744657282124
23,1.0,0.07901613826763347,45.46,1.0,0.10444608805309873,49.5,0.025429949785465256
24,1.0,0.6415461914994699,45.46,1.0,0.7222249300357407,49.5,0.08067873853627083
25,9.0,0.18542595075895574,43.44,9.0,0.04901195652831599,64.65,-0.13641399423063974
26,9.0,0.0001425994097899748,43.44,9.0,0.0010229523795931103,64.65,0.0008803529698031355
27,8.0,0.09345158937878197,45.46,8.0,0.0765880438501447,43.44,-0.016863545528637267
28,1.0,0.2800577698684831,45.46,1.0,0.15523725646268538,49.5,-0.1248205134057977
29,7.0,1.3664350452092415,45.46,7.0,1.3669577858732287,56.57,0.0005227406639871646
30,5.0,0.8250675058774946,43.44,5.0,0.7865166721066971,51.519999999999996,-0.03855083377079749
31,2.0,1.335134412893564,47.48,2.0,1.0787817846052326,54.55,-0.2563526282883315
32,3.0,0.04999827187892326,48.49,3.0,0.08779132886870136,58.589999999999996,0.037793056989778105
33,5.0,0.035533848543037476,43.44,5.0,0.027198375620104187,51.519999999999996,-0.008335472922933289
34,0.0,0.021363836352144592,46.47,0.0,0.02302327488393306,60.61,0.0016594385317884666
35,3.0,3.02347836350768,48.49,3.0,2.675745425606307,58.589999999999996,-0.3477329379013727
36,5.0,0.2904137911857816,43.44,5.0,0.4855653854166148,51.519999999999996,0.19515159423083323
37,4.0,0.023896190596147716,46.47,4.0,0.148499208808214,57.58,0.12460301821206628
38,1.0,0.05403851069739595,45.46,1.0,0.006052348466644639,49.5,-0.04798616223075131
39,6.0,0.023936737150630428,48.49,6.0,0.04101164275667777,63.64,0.017074905606047342
40,2.0,0.5037358623787727,47.48,2.0,0.45617432147874537,54.55,-0.04756154090002729
