dv,n_y2,mse_full,mse_driving,mse_demo,mse_baseline,alpha_full,alpha_driving,alpha_demo,t_driving_vs_baseline,p_driving_vs_baseline,perm_p_driving_vs_baseline,mean_diff_driving_vs_baseline,t_demo_vs_baseline,p_demo_vs_baseline,perm_p_demo_vs_baseline,mean_diff_demo_vs_baseline,t_full_vs_demo,p_full_vs_demo,perm_p_full_vs_demo,mean_diff_full_vs_demo,t_full_vs_driving,p_full_vs_driving,perm_p_full_vs_driving,mean_diff_full_vs_driving,p_driving_vs_baseline_fdr,perm_p_driving_vs_baseline_fdr,p_demo_vs_baseline_fdr,perm_p_demo_vs_baseline_fdr,p_full_vs_demo_fdr,perm_p_full_vs_demo_fdr,p_full_vs_driving_fdr,perm_p_full_vs_driving_fdr
LIFESATISFACTION,2704,0.3447914939004579,0.3802058503290999,0.35479242962032836,0.39995992765699057,107.22672220103232,91.11627561154887,126.1856883066021,-5.5422635238074855,1.637104227815327e-08,9.999000099990002e-05,-0.019754077327890647,-9.671591944619006,4.465846069803977e-22,9.999000099990002e-05,-0.045167498036662146,-3.7823872985944536,7.934922589276382e-05,0.00019998000199980003,-0.010000935719870485,-8.612676975144272,5.962248708516572e-18,9.999000099990002e-05,-0.035414356428641984,6.096335185320444e-07,0.0012411601552687445,1.663015345327307e-20,0.00037234804658062336,0.0014774241905890556,0.003723480465806234,2.2202536630099742e-16,0.0004137200517562482
cog,2702,0.3915288191637967,0.4096560924254429,0.38944395462452847,0.42815105240177553,5.722367659350215,10.974987654930557,5.722367659350215,-4.916174187566024,4.676702571526997e-07,9.999000099990002e-05,-0.01849495997633258,-9.25575697256954,2.1010734180455675e-20,9.999000099990002e-05,-0.038707097777246985,1.0938314113020917,0.8629367679819736,0.8602139786021398,0.0020848645392683046,-5.470233509199856,2.453213017910069e-08,9.999000099990002e-05,-0.0181272732616461,5.805117343511166e-06,0.0012411601552687445,3.9120440799501685e-19,0.00037234804658062336,1.0,1.0,1.6366262927000526e-07,0.0004137200517562482
phys,2690,0.3930415962797223,0.41372113724225956,0.41294675664295316,0.43444084752963535,47.50810162102793,174.7528400007683,242.01282647943833,-4.956819075257409,3.805387227261734e-07,9.999000099990002e-05,-0.020719710287375712,-5.877638329912936,2.3374937002616905e-09,9.999000099990002e-05,-0.0214940908866821,-4.839359786821488,6.880902080462076e-07,9.999000099990002e-05,-0.019905160363230985,-5.9197563003288245,1.8168858793318765e-09,9.999000099990002e-05,-0.020679540962537372,5.805117343511166e-06,0.0012411601552687445,1.7408964986165443e-08,0.00037234804658062336,2.5623466574174385e-05,0.003723480465806234,1.6914538985498632e-08,0.0004137200517562482
fati,2700,0.5717428277158669,0.5849027461405226,0.5799359288835835,0.5922511850361469,107.22672220103232,394.4206059437656,394.4206059437656,-2.9835573622736002,0.001437361921310405,0.0017998200179982,-0.0073484388956243,-5.12224114301418,1.6160469702949637e-07,9.999000099990002e-05,-0.012315256152563413,-3.1626702524839687,0.000790327054248771,0.0008999100089991,-0.008193101167716531,-5.457286058783013,2.6369886907642003e-08,9.999000099990002e-05,-0.013159918424655644,0.010705048470393276,0.013404529676902439,1.0029868429418692e-06,0.00037234804658062336,0.009810205416094306,0.0111704413974187,1.6366262927000526e-07,0.0004137200517562482
socialrole,2659,0.42670537010438,0.43100739582773595,0.4309314751117905,0.43654210116359615,107.22672220103232,91.11627561154887,464.1588833612773,-1.9281211978779293,0.026973228585093947,0.029397060293970604,-0.005534705335860226,-3.8871780976099726,5.194857129296821e-05,9.999000099990002e-05,-0.005610626051805646,-1.535650144587916,0.06237161384180496,0.066993300669933,-0.004226105007410444,-3.055079752718167,0.0011361717882973834,0.0014998500149985001,-0.004302025723355863,0.1434919045218532,0.15638617956386178,0.00019344883338495318,0.00037234804658062336,0.5806567742733663,0.6236829780225441,0.003544172658620665,0.004654350582257791
iso,2687,0.4004450045439982,0.40645709209767344,0.4013690664209009,0.40993849137543414,394.4206059437656,890.2150854450374,107.22672220103232,-1.777704851688048,0.037782729336588244,0.039996000399960006,-0.003481399277760722,-3.375421708444476,0.0003737503468824251,0.0005999400059994001,-0.008569424954533247,-0.4650847192488507,0.32095424476493817,0.32186781321867813,-0.0009240618769026783,-3.0598147170631878,0.001118310276658262,0.0012998700129987,-0.006012087553675201,0.17587165369386676,0.18617402329031169,0.0011598260674304866,0.0018617402329031167,1.0,1.0,0.003544172658620665,0.004400476914134639
info,2695,0.6289026651798015,0.6642073962107394,0.6282412870466716,0.6693453650476747,29.150530628251758,91.11627561154887,12.91549665014884,-1.3924732868158025,0.0819470209654308,0.0822917708229177,-0.005137968836935352,-6.416741087789371,8.195522499484015e-11,9.999000099990002e-05,-0.0411040780010032,0.2148053689625182,0.5850323374116869,0.5868413158684131,0.0006613781331300919,-6.4778570318906885,5.510285421248352e-11,9.999000099990002e-05,-0.03530473103093776,0.2854157515005888,0.2785840384871391,7.6297298801744e-10,0.00037234804658062336,1.0,1.0,6.839830623682605e-10,0.0004137200517562482
emo,2698,0.5193820200748578,0.5361313895046551,0.5199068004643927,0.5407636897610526,77.4263682681127,242.01282647943833,29.150530628251758,-1.5067177369865543,0.06600006825341306,0.0648935106489351,-0.0046323002563975115,-4.779175971780172,9.272683008591451e-07,9.999000099990002e-05,-0.02085688929665987,-0.19327501848754136,0.4233790716991567,0.4246575342465753,-0.0005247803895349813,-4.745213121592842,1.09573631892741e-06,9.999000099990002e-05,-0.016749369429797344,0.27308282208883333,0.26850431358980503,4.932872387644064e-06,0.00037234804658062336,1.0,1.0,5.829086820683656e-06,0.0004137200517562482
ins,2647,0.5787911165097044,0.6459280876114106,0.5779526913644701,0.6600608486130756,10.974987654930557,174.7528400007683,6.7341506577508214,-3.3486202650352883,0.0004117619430983865,0.00039996000399960006,-0.014132761001664941,-7.805889429165298,4.220725871292492e-15,9.999000099990002e-05,-0.08210815724860555,0.27056170600447293,0.6066253731923437,0.6026397360263973,0.0008384251452343268,-7.070452709582281,9.84014495263554e-13,9.999000099990002e-05,-0.06713697110170629,0.0038333521761110723,0.003723480465806234,5.239120637437972e-14,0.00037234804658062336,1.0,1.0,1.8321625735295712e-11,0.0004137200517562482
dep,2702,0.1847298400033157,0.18683047561741864,0.18554576312924992,0.18840309112291673,1232.8467394420659,1232.8467394420659,890.2150854450374,-2.2671316705400004,0.011730452289445062,0.0124987501249875,-0.0015726155054980886,-4.545198108449697,2.8648853154160267e-06,9.999000099990002e-05,-0.0028573279936668335,-1.3633642144230074,0.08644068999787602,0.08389161083891611,-0.0008159231259342261,-4.1754335659347515,1.5341734227578954e-05,9.999000099990002e-05,-0.002100635614102971,0.07280412960969364,0.07757250970429652,1.3335514053971972e-05,0.00037234804658062336,0.6437848133599388,0.6248000221622859,7.14129502159399e-05,0.0004137200517562482
