"IV","DV","N","beta","se","CI_low","CI_high","t","df_error","p","p.adj"
"DaysDriving","LIFESATISFACTION",2686,-0.00207381653017409,0.0183998289545777,-0.0381532108273381,0.0340055777669899,-0.112708467850085,2664,0.910270179571425,1
"Miles_n","LIFESATISFACTION",2685,0.000319291877810845,0.0191483382893755,-0.0372278270059857,0.0378664107616074,0.0166746520238785,2663,0.986697418228943,1
"Trips","LIFESATISFACTION",2684,-0.00816550460549133,0.0183469292737957,-0.044141182591533,0.0278101733805503,-0.445061104429821,2662,0.656311782460348,1
"TripMinutes_n","LIFESATISFACTION",2685,-0.0393199048754462,0.0188197410298408,-0.0762226921111287,-0.00241711763976368,-2.08929043248258,2663,0.0367762820845648,0.681563249607667
"TripChains","LIFESATISFACTION",2686,-0.0458171157122381,0.0187899753328948,-0.082661530437128,-0.00897270098734823,-2.43838083342388,2664,0.014818147254248,0.386060076822346
"MilesPerTrip_n","LIFESATISFACTION",2683,0.0279877088205786,0.019305399048364,-0.00986739640800406,0.0658428140491613,1.44973479960003,2661,0.147250331244635,1
"MinutesPerTrip_n","LIFESATISFACTION",2681,-0.0273898663289683,0.0188528496647297,-0.0643576000910147,0.00957786743307804,-1.45282367472594,2659,0.146390712051813,1
"MilesPerChain_n","LIFESATISFACTION",2680,0.0604610796662083,0.0187943027523576,0.023608141686782,0.0973140176456346,3.21698976880768,2658,0.00131099117322335,0.0736478149923194
"MinutesPerChain_n","LIFESATISFACTION",2680,0.0300587468217775,0.0185562103614882,-0.00632732605338312,0.0664448196969381,1.61987529976281,2658,0.105377693282085,1
"Average_speed","LIFESATISFACTION",2683,0.112638075291838,0.0215983024044837,0.0702869170364606,0.154989233547216,5.21513557789871,2661,0.000000197798409109405,0.0000592627255363232
"LeftTurnCount","LIFESATISFACTION",2685,-0.0256533514851587,0.0187694454046705,-0.062457516282222,0.0111508133119046,-1.36676129379802,2663,0.171815512262488,1
"RightToLeftTurnRatio_n","LIFESATISFACTION",2686,-0.0356582744848495,0.0201763934979068,-0.0752212540268201,0.0039047050571211,-1.76732647926146,2664,0.07728803546751,1
"TripsAMPeak","LIFESATISFACTION",2683,0.0515246228500502,0.0186479479565318,0.0149586844603194,0.088090561239781,2.7630183744696,2661,0.00576634373861247,0.20731971376401
"PercentTripsAMPeak_n","LIFESATISFACTION",2680,0.0832681340697609,0.0186343768022012,0.046728787991033,0.119807480148489,4.46852261031476,2658,0.00000820571686892994,0.00134101587797503
"TripsPMPeak","LIFESATISFACTION",2686,-0.0564895990631286,0.0186726643212046,-0.0931039839189029,-0.0198752142073543,-3.02525649748757,2664,0.00250795962192133,0.121850942651165
"PercentTripsPMPeak_n","LIFESATISFACTION",2684,-0.0845799538316389,0.0187056442248759,-0.121259020018303,-0.047900887644975,-4.52162741976881,2662,0.00000640504479273517,0.00115141596934615
"TripsAtNight","LIFESATISFACTION",2684,-0.052761266152249,0.0192233996616024,-0.0904555759575711,-0.0150669563469269,-2.74463763335455,2662,0.0060984334634366,0.214960266080075
"PercentTripsAtNight_n","LIFESATISFACTION",2681,-0.0421937128274002,0.0194026842995073,-0.080239593434782,-0.00414783222001853,-2.1746327557611,2659,0.0297455281264043,0.600816366825817
"TripsLt15Miles","LIFESATISFACTION",2684,-0.0060263419744408,0.0184224233110012,-0.0421500528618927,0.0300973689130111,-0.327119938170246,2662,0.74360289219681,1
"PercentDistLt15Miles_n","LIFESATISFACTION",2681,-0.00266481054515451,0.0195310695231641,-0.0409624361593405,0.0356328150690314,-0.136439560669937,2659,0.891484129973286,1
"TripsVgt60","LIFESATISFACTION",2686,-0.0152554638602278,0.0201384540571857,-0.0547440496649213,0.0242331219444657,-0.75752904452884,2664,0.448799970497198,1
"PercentTripsVgt60_n","LIFESATISFACTION",2682,0.00278095397995158,0.0206314697639315,-0.0376743917285843,0.0432362996884874,0.134791850109163,2660,0.892786647721381,1
"SpeedingPer1000Miles","LIFESATISFACTION",2678,-0.0543358756528457,0.0189981310259136,-0.0915885044855631,-0.0170832468201282,-2.86006426520225,2656,0.00426862278064614,0.179563984353265
"DecelerationPer1000Miles","LIFESATISFACTION",2684,-0.0734307509759528,0.0186392993661801,-0.109979724478612,-0.0368817774732934,-3.9395660498478,2662,0.0000837273588514249,0.00836189989231028
"DaysDriving","cog",2680,0.013324641447516,0.0185504785885496,-0.0230501922412059,0.0496994751362379,0.718290980144348,2658,0.472641021312612,1
"Miles_n","cog",2679,-0.0318430323476621,0.0192932189389639,-0.0696742800539097,0.00598821535858542,-1.65047794504385,2657,0.0989634094343379,1
"Trips","cog",2678,0.0083455425714125,0.0184917040550562,-0.0279140551073196,0.0446051402501446,0.451312791215182,2656,0.651800972967361,1
"TripMinutes_n","cog",2679,-0.0196526671543132,0.0189774001982316,-0.0568646394017214,0.0175593050930949,-1.03558269041217,2657,0.300491110989077,1
"TripChains","cog",2680,0.0183754601320832,0.018993561860742,-0.0188681964422218,0.0556191167063882,0.967457302996111,2658,0.333403494015869,1
"MilesPerTrip_n","cog",2677,-0.0502378552901141,0.0194297917522423,-0.0883369158633396,-0.0121387947168886,-2.58560955931586,2655,0.00977351968986595,0.29100647326217
"MinutesPerTrip_n","cog",2675,-0.0402385449680206,0.0189752959508205,-0.0774464166533163,-0.00303067328272492,-2.12057535610035,2653,0.0340501012442066,0.651179367021216
"MilesPerChain_n","cog",2674,-0.0688290850786497,0.0189193957778015,-0.105927350815458,-0.0317308193418416,-3.63801708505978,2652,0.000279984375874636,0.0218834624473511
"MinutesPerChain_n","cog",2674,-0.0518951612169457,0.0186716839281197,-0.0885076989667939,-0.0152826234670975,-2.7793508832265,2652,0.00548516351517413,0.205427423168644
"Average_speed","cog",2677,-0.0569099841167765,0.0218557396856617,-0.0997659838503084,-0.0140539843832446,-2.60389192657304,2655,0.00926854139641648,0.282403099900686
"LeftTurnCount","cog",2679,0.0206640109381514,0.0189055748463677,-0.016407122049279,0.0577351439255817,1.09301151147602,2657,0.274487833320358,1
"RightToLeftTurnRatio_n","cog",2680,-0.00350864473730972,0.0203491980747181,-0.0434105099174146,0.0363932204427952,-0.172421769370306,2658,0.863119085930757,1
"TripsAMPeak","cog",2677,-0.0250870559679427,0.0188053617302446,-0.0619616980020924,0.0117875860662069,-1.33403740527869,2655,0.182306013630625,1
"PercentTripsAMPeak_n","cog",2674,-0.0338993915461899,0.0188371813205421,-0.0708364463321497,0.00303766323976987,-1.79960000221595,2652,0.0720374450871015,1
"TripsPMPeak","cog",2680,-0.0117484965535033,0.018859545930155,-0.0487293670674127,0.0252323739604061,-0.62294694670874,2658,0.53337282883127,1
"PercentTripsPMPeak_n","cog",2678,0.00230628480481101,0.0189372665921148,-0.034826997542806,0.0394395671524281,0.121785517122694,2656,0.903078097211734,1
"TripsAtNight","cog",2678,0.0135886949551464,0.0194487795440424,-0.0245475914308836,0.0517249813411763,0.698691397286615,2656,0.484806083530477,1
"PercentTripsAtNight_n","cog",2675,0.0191526428018992,0.019604129773096,-0.0192882830729724,0.0575935686767708,0.976969802974044,2653,0.328673176480647,1
