"IV","DV","N","beta","se","CI_low","CI_high","t","df_error","p","p.adj"
"Average_speed","LIFESATISFACTION",2683,0.112638075291838,0.0215983024044837,0.0702869170364606,0.154989233547216,5.21513557789871,2661,0.000000197798409109405,0.0000592627255363232
"PercentTripsAMPeak_n","LIFESATISFACTION",2680,0.0832681340697609,0.0186343768022012,0.046728787991033,0.119807480148489,4.46852261031476,2658,0.00000820571686892994,0.00134101587797503
"PercentTripsPMPeak_n","LIFESATISFACTION",2684,-0.0845799538316389,0.0187056442248759,-0.121259020018303,-0.047900887644975,-4.52162741976881,2662,0.00000640504479273517,0.00115141596934615
"DecelerationPer1000Miles","LIFESATISFACTION",2684,-0.0734307509759528,0.0186392993661801,-0.109979724478612,-0.0368817774732934,-3.9395660498478,2662,0.0000837273588514249,0.00836189989231028
"MilesPerChain_n","cog",2674,-0.0688290850786497,0.0189193957778015,-0.105927350815458,-0.0317308193418416,-3.63801708505978,2652,0.000279984375874636,0.0218834624473511
"DaysDriving","phys",2662,-0.101069518910069,0.0192125878639629,-0.138742771149466,-0.0633962666706716,-5.26058850716541,2640,0.000000155113600550382,0.0000557686269232853
"Trips","phys",2660,-0.104838440451428,0.019093364822259,-0.142277925661677,-0.0673989552411796,-5.49083105190593,2638,0.0000000438202353837021,0.0000393871709207483
"MinutesPerTrip_n","phys",2657,0.0891498215116089,0.0196660381902608,0.0505873817525306,0.127712261270687,4.53318663622643,2635,0.00000606942075019877,0.00115141596934615
"Average_speed","phys",2659,-0.120004775773699,0.0226278119763561,-0.164374837686984,-0.0756347138604145,-5.30341934514449,2637,0.000000123082461248964,0.0000553154255803288
"TripsAMPeak","phys",2659,-0.100575013020524,0.0194872438177024,-0.138786847890559,-0.062363178150488,-5.16106915689946,2637,0.00000026381333713939,0.0000677499197091213
"PercentTripsAMPeak_n","phys",2656,-0.0760122289652897,0.0195614237569064,-0.114369540668653,-0.0376549172619264,-3.88582292934851,2634,0.000104498081712439,0.0095817579958162
"TripsLt15Miles","phys",2660,-0.106699302158171,0.0191812552616917,-0.144311128537087,-0.0690874757792553,-5.56268610695508,2638,0.0000000292360022724623,0.0000393871709207483
"TripsAMPeak","fati",2677,-0.0678103518054743,0.0197888264361483,-0.106613428373542,-0.0290072752374071,-3.42669900230188,2655,0.00062025948375977,0.0412971162720248
"PercentTripsAMPeak_n","fati",2674,-0.0701830660377332,0.0198130048167397,-0.109033573018431,-0.0313325590570349,-3.54227269850742,2652,0.000403536618878416,0.0302260771410198
"Average_speed","socialrole",2626,-0.108380556227463,0.0229744415945596,-0.153430573840641,-0.063330538614285,-4.71744028168795,2604,0.00000251443083797975,0.000565014748989363
"TripsAMPeak","socialrole",2626,-0.069080261455495,0.0197449500656647,-0.107797648538372,-0.0303628743726182,-3.49862933184225,2604,0.000475497155892261,0.0341914872660385
"PercentTripsAMPeak_n","socialrole",2623,-0.0869729403266782,0.0197886081390372,-0.125775956264275,-0.0481699243890815,-4.39510145006639,2601,0.000011516141657126,0.00172518562039139
"PercentTripsPMPeak_n","socialrole",2627,0.106935460050816,0.0198672444675999,0.0679782758364798,0.145892644265151,5.38250084077884,2605,0.0000000800080767352363,0.0000479427181805776
"TripsAtNight","socialrole",2627,0.0792406015243953,0.0204174875511926,0.0392044593697604,0.11927674367903,3.88101627713577,2605,0.000106601941939718,0.0095817579958162
"PercentTripsAtNight_n","socialrole",2624,0.0861302643477865,0.0206464297074445,0.0456451735308244,0.126615355164749,4.17167837578866,2602,0.0000312270531076675,0.00350849689456607
"TripsAMPeak","iso",2664,-0.0832417738628524,0.0196893385602873,-0.121849855486637,-0.0446336922390682,-4.22775877452521,2642,0.0000244047565780536,0.00292478063373302
"PercentTripsAMPeak_n","iso",2661,-0.0757639454941384,0.0197409941513078,-0.114473336787263,-0.0370545542010143,-3.83789919157234,2639,0.000127003886074377,0.0108719586578232
"DecelerationPer1000Miles","iso",2665,0.0853581558383339,0.0196876635216932,0.0467533654290971,0.123962946247571,4.33561634900355,2643,0.0000150792292248556,0.00208519112629459
"TripsAMPeak","dep",2679,-0.0665523491385977,0.0195750289829219,-0.104936186104979,-0.0281685121722161,-3.39985954537594,2657,0.000684155623318062,0.0439245121673398
"PercentTripsAMPeak_n","dep",2676,-0.0789949922028071,0.0195854742480138,-0.117399330626793,-0.0405906537788216,-4.03334589719307,2654,0.0000565395178540797,0.00597878940951988
"TripsAMPeak","anx",2681,-0.0680604992276653,0.0197639474432401,-0.106814765036916,-0.0293062334184146,-3.44366930863015,2659,0.000582756032542992,0.0402924343722522
"PercentTripsAMPeak_n","anx",2678,-0.0840619311403528,0.0197793170790349,-0.12284635455047,-0.0452775077302357,-4.24999158486894,2656,0.0000221148663903036,0.00283966011454792
"Average_speed","ang",2678,-0.0852044305966515,0.0228462894681097,-0.130002749999725,-0.0404061111935782,-3.72946472185714,2656,0.000195900217748286,0.016007455941718
