"IV","DV","y1_N","y1_beta","y1_CI_low","y1_CI_high","y1_t","y1_df_error","y1_p","y1_p.adj","y1_dir","y2_N","y2_beta","y2_CI_low","y2_CI_high","y2_t","y2_df","y2_p_two_tailed","y2_p_one_tailed","y2_p_adj","replicated"
"Average_speed","LIFESATISFACTION",2683,0.112638075291838,0.0702869170364606,0.154989233547216,5.21513557789871,2661,0.000000197798409109405,0.0000592627255363232,1,2455,0.110692764800086,0.067226373933938,0.154159155666234,4.99378509821865,2433,0.000000634045038584042,0.000000317022519292021,0.0000174300231904929,TRUE
"PercentTripsAMPeak_n","LIFESATISFACTION",2680,0.0832681340697609,0.046728787991033,0.119807480148489,4.46852261031476,2658,0.00000820571686892994,0.00134101587797503,1,2453,0.0776505107141942,0.0395621557314021,0.115738865696986,3.99775774400431,2431,0.0000658507269830497,0.0000329253634915249,0.000326310140518978,TRUE
"PercentTripsPMPeak_n","LIFESATISFACTION",2684,-0.0845799538316389,-0.121259020018303,-0.047900887644975,-4.52162741976881,2662,0.00000640504479273517,0.00115141596934615,-1,2454,-0.0934631058193515,-0.131505933623686,-0.055420278015017,-4.81761068198742,2432,0.00000154224812943642,0.000000771124064718211,0.0000282644702145063,TRUE
"DecelerationPer1000Miles","LIFESATISFACTION",2684,-0.0734307509759528,-0.109979724478612,-0.0368817774732934,-3.9395660498478,2662,0.0000837273588514249,0.00836189989231028,-1,2454,-0.0768353063594545,-0.114880561654968,-0.038790051063941,-3.96026829056292,2432,0.0000770164421393371,0.0000385082210696686,0.000326310140518978,TRUE
"MilesPerChain_n","cog",2674,-0.0688290850786497,-0.105927350815458,-0.0317308193418416,-3.63801708505978,2652,0.000279984375874636,0.0218834624473511,-1,2454,-0.0456597518557306,-0.0847686878363094,-0.00655081587515175,-2.28940080067468,2432,0.0221413899694979,0.011070694984749,0.0676301309060787,FALSE
"DaysDriving","phys",2662,-0.101069518910069,-0.138742771149466,-0.0633962666706716,-5.26058850716541,2640,0.000000155113600550382,0.0000557686269232853,-1,2444,-0.0791778029438753,-0.118387044941338,-0.0399685609464126,-3.95986314608538,2422,0.0000771553544097231,0.0000385776772048616,0.000326310140518978,TRUE
"Trips","phys",2660,-0.104838440451428,-0.142277925661677,-0.0673989552411796,-5.49083105190593,2638,0.0000000438202353837021,0.0000393871709207483,-1,2442,-0.0797917800033188,-0.118703281357742,-0.0408802786488951,-4.02110600127931,2420,0.000059698609415556,0.000029849304707778,0.000326310140518978,TRUE
"MinutesPerTrip_n","phys",2657,0.0891498215116089,0.0505873817525306,0.127712261270687,4.53318663622643,2635,0.00000606942075019877,0.00115141596934615,1,2440,0.0819334779453575,0.0422244091804089,0.121642546710306,4.04610569911077,2418,0.0000537105034235576,0.0000268552517117788,0.000326310140518978,TRUE
"Average_speed","phys",2659,-0.120004775773699,-0.164374837686984,-0.0756347138604145,-5.30341934514449,2637,0.000000123082461248964,0.0000553154255803288,-1,2442,-0.122148407092402,-0.167184568908604,-0.0771122452761994,-5.3185322021484,2420,0.00000011420193105999,0.0000000571009655299951,0.00000627886722753959,TRUE
"TripsAMPeak","phys",2659,-0.100575013020524,-0.138786847890559,-0.062363178150488,-5.16106915689946,2637,0.00000026381333713939,0.0000677499197091213,-1,2443,-0.089813175504416,-0.129428465573577,-0.0501978854352548,-4.44572380365622,2421,0.00000915469956228013,0.00000457734978114006,0.000125832248469986,TRUE
"PercentTripsAMPeak_n","phys",2656,-0.0760122289652897,-0.114369540668653,-0.0376549172619264,-3.88582292934851,2634,0.000104498081712439,0.0095817579958162,-1,2440,-0.08605643310999,-0.12556836132254,-0.0465445048974399,-4.2709122960212,2418,0.0000202197781996883,0.0000101098890998442,0.000185281897173659,TRUE
"TripsLt15Miles","phys",2660,-0.106699302158171,-0.144311128537087,-0.0690874757792553,-5.56268610695508,2638,0.0000000292360022724623,0.0000393871709207483,-1,2441,-0.0861281974162812,-0.125040214304434,-0.0472161805281287,-4.34037308987377,2419,0.0000148089812333962,0.00000740449061669812,0.000162840726205892,TRUE
"TripsAMPeak","fati",2677,-0.0678103518054743,-0.106613428373542,-0.0290072752374071,-3.42669900230188,2655,0.00062025948375977,0.0412971162720248,-1,2453,-0.0455315283674447,-0.0856771670216684,-0.00538588971322092,-2.22401765355703,2431,0.0262387976760161,0.0131193988380081,0.0759273394014568,FALSE
"PercentTripsAMPeak_n","fati",2674,-0.0701830660377332,-0.109033573018431,-0.0313325590570349,-3.54227269850742,2652,0.000403536618878416,0.0302260771410198,-1,2450,-0.0488454723106913,-0.0889020772791927,-0.00878886734218982,-2.39119402035454,2428,0.0168693937458299,0.00843469687291494,0.0545579955229182,FALSE
"Average_speed","socialrole",2626,-0.108380556227463,-0.153430573840641,-0.063330538614285,-4.71744028168795,2604,0.00000251443083797975,0.000565014748989363,-1,2416,-0.0964072290360961,-0.142429848945224,-0.0503846091269685,-4.10776867621531,2394,0.0000412918141525036,0.0000206459070762518,0.000324320033372188,TRUE
"TripsAMPeak","socialrole",2626,-0.069080261455495,-0.107797648538372,-0.0303628743726182,-3.49862933184225,2604,0.000475497155892261,0.0341914872660385,-1,2417,-0.058393750407086,-0.0987302176052774,-0.0180572832088946,-2.8388087506584,2395,0.00456639881068081,0.0022831994053404,0.0167374938842311,TRUE
"PercentTripsAMPeak_n","socialrole",2623,-0.0869729403266782,-0.125775956264275,-0.0481699243890815,-4.39510145006639,2601,0.000011516141657126,0.00172518562039139,-1,2414,-0.0515711221056887,-0.0919128406707815,-0.0112294035405958,-2.50680230761832,2392,0.0122487238610342,0.00612436193051711,0.0420899794099312,TRUE
