"IV","candidate_DV","against_DV","y1_n_obs","y1_Coefficient","y1_z","y1_p","y1_p_adj","y1_contrast_dir","y2_n_obs","y2_Coefficient","y2_SE","y2_CI_low","y2_CI_high","y2_z","y2_p_two_tailed","Label","y2_p_one_tailed","y2_p_adj","replicated"
"DaysDriving","phys","ang",2471,-0.101414838260762,-3.98121683413566,0.0000685633668551233,0.00169895855068915,-1,2326,-0.11224575038,0.0268278595860082,-0.164827388950874,-0.0596641118091267,-4.18392492401969,0.0000286518768115585,"phys_vs_ang",0.0000143259384057917,0.000426880834608142,TRUE
"DaysDriving","phys","anx",2471,-0.0888463449973137,-3.49887593265627,0.000467223930265437,0.00813555808311801,-1,2326,-0.103807995485891,0.0271138229467399,-0.156950111944697,-0.0506658790270849,-3.82860047769001,0.000128874016086522,"phys_vs_anx",0.0000644370080432812,0.00134405482529737,TRUE
"DaysDriving","phys","cog",2471,-0.110191388679122,-4.33663772031715,0.0000144678790354735,0.000479784249327256,-1,2326,-0.0424412529651293,0.0261548588483494,-0.0937038343286229,0.00882132839836439,-1.62269095815853,0.104655485229659,"phys_vs_cog",0.0523277426148294,0.282918147558894,FALSE
"DaysDriving","phys","dep",2471,-0.0864171511550017,-3.47036576344629,0.000519750065958613,0.00858606045069241,-1,2326,-0.0819193927601739,0.025805216878117,-0.132496688454528,-0.0313420970658195,-3.17452835785473,0.00150080225074167,"phys_vs_dep",0.000750401125370797,0.00823799441452186,TRUE
"DaysDriving","phys","fati",2471,-0.0666300299913018,-3.04990084925532,0.00228916925778644,0.0327739952867038,-1,2326,-0.0561032198619581,0.0225944050425266,-0.10038743999742,-0.0118189997264958,-2.48305807372941,0.0130259849656507,"phys_vs_fati",0.00651299248282529,0.0487757619236333,TRUE
"DaysDriving","phys","socialrole",2471,-0.0667999439337666,-3.02937546730928,0.00245059911845846,0.0343224623272378,-1,2326,-0.0549317393151365,0.0229654113959933,-0.099943118541429,-0.009920360088844,-2.39193360693379,0.0167598738502577,"phys_vs_socialrole",0.00837993692512879,0.0602732166302135,FALSE
"DecelerationPer1000Miles","iso","ang",2469,0.0801605080780817,3.71950826722324,0.000199611014215284,0.00401881966510082,1,2323,0.0389669619354407,0.0220558754523808,-0.00426175959872658,0.0821956834696081,1.76673839220626,0.0772720505519073,"iso_vs_ang",0.0386360252759536,0.223857453018203,FALSE
"DecelerationPer1000Miles","iso","socialrole",2469,0.0752593432712469,3.57691542669763,0.000347672596818116,0.00658802957448913,1,2323,0.028464127948513,0.0209644155057615,-0.0126253713997125,0.0695536272967386,1.35773534638686,0.174547676713977,"iso_vs_socialrole",0.0872738383569886,0.423347733278989,FALSE
"MinutesPerTrip_n","phys","ang",2467,0.111629466291415,4.29733030373971,0.0000172867507683971,0.000530344502810454,1,2322,0.0884654936075952,0.0268856905602107,0.0357705084100937,0.141160478805097,3.29043040235385,0.00100034244469804,"phys_vs_ang",0.000500171222349051,0.00638941653567936,TRUE
"MinutesPerTrip_n","phys","anx",2467,0.12099565410365,4.67818075228033,0.0000028943135952364,0.000186470261701446,1,2322,0.100999097904408,0.0271414033094037,0.0478029249281007,0.154195270880715,3.72121871345595,0.000198263626714601,"phys_vs_anx",0.0000991318133573294,0.0018797581775015,TRUE
"MinutesPerTrip_n","phys","cog",2467,0.134578939878954,5.19895080109171,0.000000200416558904237,0.0000430404042944581,1,2322,0.118979443112021,0.02607727401037,0.0678689252367129,0.170089960987328,4.56257211028677,0.00000505307300002755,"phys_vs_cog",0.00000252653650001055,0.000175665282899138,TRUE
"MinutesPerTrip_n","phys","dep",2467,0.113523219368845,4.47610307497132,0.00000760177949565843,0.00034982531024309,1,2322,0.110976715755519,0.0257749005462177,0.0604588389798306,0.161494592531207,4.30561179301249,0.0000166524866573869,"phys_vs_dep",0.00000832624332866254,0.000289453940168776,TRUE
"MinutesPerTrip_n","phys","emo",2467,0.133899688620263,5.0377067059722,0.0000004711426400128,0.0000610377047879078,1,2322,0.104709365748917,0.0272868639171886,0.0512280952201822,0.158190636277653,3.83735434261313,0.000124366956171684,"phys_vs_emo",0.0000621834780858491,0.00134405482529737,TRUE
"MinutesPerTrip_n","phys","fati",2467,0.0787026518855519,3.53087879065201,0.000414181499682753,0.00741228639618401,1,2322,0.0674864975191993,0.0225856081074617,0.0232195190596385,0.11175347597876,2.98803101506501,0.00280781059261703,"phys_vs_fati",0.00140390529630848,0.0133105729220398,TRUE
"MinutesPerTrip_n","phys","info",2467,0.117825964007465,4.33024990240686,0.0000148940218449578,0.000479784249327256,1,2322,0.0837754195601507,0.0277376160992246,0.0294106909886721,0.138140148131629,3.02028188941921,0.00252539525081241,"phys_vs_info",0.00126269762540617,0.0125418524293247,TRUE
"MinutesPerTrip_n","phys","ins",2467,0.131857768823152,5.03666980449955,0.00000047370089251153,0.0000610377047879078,1,2322,0.127510071695748,0.0274422217015977,0.0737243055048527,0.181295837886642,4.64649229505802,0.00000337626737634267,"phys_vs_ins",0.00000168813368819859,0.000175665282899138,TRUE
