"Variable","n_Obs","Mean","SD","Median","MAD","Min","Max","Skewness","Kurtosis","percentage_Missing"
"XID",2658,2497.21745673439,864.832272601332,2503.5,1111.2087,1001,3996,-0.00684718739609098,-1.20032843788361,0
"n_sessions",2658,2.63017306245297,0.637393343935461,3,0,1,3,-1.49945950028679,0.978664647006138,0
"n_months",2658,27.543265613243,7.31184829577088,29,7.413,3,38,-1.20406224090107,0.96129117991972,0
"DaysDriving",2658,22.2155332472695,4.80824889598599,22.938330170778,4.83096910815947,5.125,30.4516129032258,-0.701666409766171,0.12368706917356,0
"Miles_n",2658,751.632229191488,394.671961308624,681.269636363636,371.094515428283,47.7571428571429,2505,0.875725993877552,0.752516825305358,0
"Trips",2658,114.641709978422,46.7475191989751,109.1,43.3985288640974,17,329.954545454545,0.777026726286704,0.883061491356143,0
"TripMinutes_n",2658,1679.1631770255,766.46567653322,1564.3556980057,705.586259863245,197.338461538462,5698.43076923077,0.943505690155523,1.40778374088537,0
"TripChains",2658,9.56981194514395,5.18049641949813,8.69230769230769,4.8105877272727,0.344827586206897,30.7368421052632,0.882706057267957,0.768544227729388,0
"MilesPerTrip_n",2658,6.61377559359891,2.77147791590291,6.21496231825601,2.67460264354066,0.844780093419467,20.2152661709017,0.809536413943944,0.691008088242951,0
"MinutesPerTrip_n",2658,14.8040231904856,4.10922706993304,14.3301808124856,3.8520897097881,4.98071203593045,34.4914900527023,0.731338880504514,0.921379183823025,0
"MilesPerChain_n",2658,97.6035365847154,49.8997173213724,88.0734660892408,46.3591587943521,15.5441900318446,379.261111111111,1.08472868186789,1.55103179207112,0
"MinutesPerChain_n",2658,219.75914579055,96.5866001848292,199.034610062557,80.5316995707067,40.95875,775.344444444444,1.32884465116719,2.71172142707018,0
"Average_speed",2658,26.0611669187187,6.4572710087061,25.9573949153543,7.04489040963605,4.62951025677672,45.165632343756,0.0657500344250997,-0.451203422656538,0
"LeftTurnCount",2658,259.136924374899,117.336569862725,243.566806722689,109.203664705882,6.22857142857143,881.578947368421,0.951808160428631,1.61917972364128,0
"RightToLeftTurnRatio_n",2658,0.934474255035449,0.131141397422348,0.928142857142857,0.128124145248872,0.232103448275862,1.40565714285714,0.185656743520994,0.596633958647943,0
"TripsAMPeak",2658,8.23766941113285,6.29038715714682,6.62678571428571,5.3770725,0,35.5454545454545,1.31184972461656,1.82629586997528,0
