"variable","mean","sd","n"
"DaysDriving",22.3676069281065,5.02093345701265,2448
"Miles_n",772.853362032734,418.187094914057,2448
"Trips",116.541120401909,48.6828924188468,2448
"TripMinutes_n",1709.77129567954,806.366033514828,2448
"TripChains",9.78263893893309,5.42378101027765,2448
"MilesPerTrip_n",6.68471303916674,2.87333567126774,2448
"MinutesPerTrip_n",14.8060225461379,4.21636690064979,2448
"MilesPerChain_n",98.33227402108,53.2638555535226,2448
"MinutesPerChain_n",218.948846404202,102.460593172209,2448
"Average_speed",26.3369925608364,6.6236607193298,2448
"LeftTurnCount",264.331100338091,121.250003638262,2448
"RightToLeftTurnRatio_n",0.933626098508047,0.132617788079675,2448
"TripsAMPeak",8.4365387964112,6.69570299741615,2448
"PercentTripsAMPeak_n",6.98436354503709,4.40445130097366,2448
"TripsPMPeak",11.4204761234083,7.36801416184438,2448
"PercentTripsPMPeak_n",9.38078855057087,4.12900156208465,2448
"TripsAtNight",8.18350656656236,7.5653166625013,2448
"PercentTripsAtNight_n",6.56607308875506,4.57098512145909,2448
"TripsLt15Miles",95.7834269715397,43.8305180690667,2448
"PercentDistLt15Miles_n",82.5886033110473,12.6834131611128,2448
"TripsVgt60",14.1844224179333,12.3563282703805,2448
"PercentTripsVgt60_n",12.7711279820252,10.5964325258306,2448
"SpeedingPer1000Miles",4.11051781848135,7.86784312372291,2448
"DecelerationPer1000Miles",1.1775780635568,1.35777662163136,2448
"LIFESATISFACTION",3.95124591503268,0.613135636319058,2448
"cog",1.46885212418301,0.593758392956904,2448
"phys",1.38929738562091,0.644678823328768,2448
"fati",1.85181781045752,0.742262749207616,2448
"socialrole",1.54646650326797,0.631437645621344,2448
"iso",1.62551062091503,0.624882289438099,2448
"info",1.72109885620915,0.782944925303934,2448
"emo",1.53615196078431,0.698252401800804,2448
"ins",1.50061274509804,0.779605456176196,2448
"dep",1.16738153594771,0.375472956426339,2448
"anx",1.22834967320261,0.4058106422357,2448
"ang",1.65457516339869,0.548605528049611,2448
"Age",70.9873366013072,4.06056555891049,2448
"EDUCATION",7.54330065359477,1.71954914338786,2448
"INCOME",3.54942810457517,1.26083683385139,2448
"Site_JHSPH",0.208333333333331,0.40619940507299,2448
"Site_UCDENVER",0.190767973856208,0.392986821264339,2448
"Site_UCSD",0.192810457516345,0.394586096041571,2448
"Site_UMTRI",0.220996732026142,0.415003049197742,2448
"GENDER_Female",0.521241830065359,0.499650644128082,2448
"RACE_Black",0.0747549019607836,0.26304918261211,2448
"RACE_American_Indian",0.00653594771241832,0.080597038697162,2448
"RACE_Asian",0.0204248366013069,0.141477344673838,2448
"RACE_Alaska_Native_Native_Hawaiian_Pacific_Islander",0.00326797385620916,0.0570843703730443,2448
"RACE_Other_Non_Hispanic",0.0102124183006535,0.100559711795964,2448
"RACE_Hispanic",0.0261437908496733,0.159595418939494,2448
"WORK_Working",0.310049019607843,0.462607874790748,2448
"MARRIAGE_Living_with_a_partner",0.0339052287581699,0.181022236951634,2448
"MARRIAGE_Separated",0.0126633986928105,0.111839825479799,2448
"MARRIAGE_Divorced",0.145424836601307,0.352600681752536,2448
"MARRIAGE_Widowed",0.120506535947712,0.32561944481623,2448
"MARRIAGE_Never_married",0.0404411764705882,0.197031840551256,2448
