"","DaysDriving","Miles_n","Trips","TripMinutes_n","TripChains","MilesPerTrip_n","MinutesPerTrip_n","MilesPerChain_n","MinutesPerChain_n","Average_speed","LeftTurnCount","RightToLeftTurnRatio_n","TripsAMPeak","PercentTripsAMPeak_n","TripsPMPeak","PercentTripsPMPeak_n","TripsAtNight","PercentTripsAtNight_n","TripsLt15Miles","PercentDistLt15Miles_n","TripsVgt60","PercentTripsVgt60_n","SpeedingPer1000Miles","DecelerationPer1000Miles","LIFESATISFACTION","cog","phys","fati","socialrole","iso","info","emo","ins","dep","anx","ang","Age","EDUCATION","INCOME","Site_JHSPH","Site_UCDENVER","Site_UCSD","Site_UMTRI","GENDER_Female","RACE_Black","RACE_American_Indian","RACE_Asian","RACE_Alaska_Native_Native_Hawaiian_Pacific_Islander","RACE_Other_Non_Hispanic","RACE_Hispanic","WORK_Working","MARRIAGE_Living_with_a_partner","MARRIAGE_Separated","MARRIAGE_Divorced","MARRIAGE_Widowed","MARRIAGE_Never_married"
"DaysDriving",25.08266472,1108.87730969,193.13584662,2685.6827424,15.9888316,-0.62608708,-0.6778981,-19.64128997,-34.7309631,-0.70651897,444.82772751,-0.00586004,15.54194105,2.63368508,19.25375393,1.854492,15.52508594,3.81512412,166.56438141,5.02930087,17.20079195,-4.64854185,0.28986242,0.03868065,-0.19465995,-0.10735397,-0.25041024,-0.05372076,-0.044721,-0.07023437,0.01355963,-0.0177926,0.0886862,0.0226138,0.05066619,0.08086533,-0.63359785,-0.24350396,-0.41262964,0.07585153,-0.09524269,-0.10369122,0.12331358,-0.01262857,0.07104638,0.00560938,-0.03431846,-0.00227642,-0.01722898,0.01803146,0.24806606,-0.01272724,-0.00517057,0.0634231,0.05748237,0.05221923
"Miles_n",1108.87730969,168950.12480918,11848.68260893,283081.98408727,1146.77480834,789.80130147,940.30605307,7673.76402354,5447.98748456,1508.83256243,29741.21639056,-2.80608914,1002.96035889,182.13373504,1261.44324897,166.30841692,1121.60694616,357.75355765,6507.69841951,-2819.27672549,2562.83009953,1076.79133426,571.46207544,-58.59010459,1.12925404,-35.70426572,-20.60213039,-9.02806218,-8.81685107,-9.15905551,-9.18271795,-11.40369123,-20.53161942,-11.27643608,-5.59908837,2.37743579,-207.84938925,0.07576307,19.36275254,3.74878821,-16.95907301,-29.08257493,12.387959,-22.90112412,-1.92425522,0.54652197,-2.86395345,-0.06944012,-1.63329194,-0.75106573,23.46971513,1.17084029,-1.84292854,-5.95750474,-3.91616016,-5.93064453
"Trips",193.13584662,11848.68260893,2295.12193099,29447.55543439,205.80306794,-15.22559495,-23.67599243,-513.66271935,-1058.14380895,-12.25449902,4829.48741362,-0.27446369,184.90207481,23.37775821,232.95384275,17.20469635,191.70408601,40.83098428,1941.68602103,20.98367941,172.76149022,-64.1850769,17.81846509,-0.22770989,-1.36687273,-1.22158047,-2.66219008,-0.54012893,-0.85567597,-0.81687623,-0.80818181,-1.27349839,-0.20132911,-0.25640336,0.35103547,0.631412,-9.03294842,-3.19794081,-3.20326223,0.86856466,-1.38975836,-1.12834475,0.82933464,-1.22635457,1.24354878,0.11101891,-0.23957458,-0.02267182,-0.13742803,0.24594392,1.85987846,-0.08754588,-0.13220397,0.12787955,0.17875646,0.08462805
"TripMinutes_n",2685.6827424,283081.98408727,29447.55543439,631410.06004268,2893.03080707,855.24669402,1643.5876247,4844.44421206,5910.22548633,731.45499175,79204.8848025,-3.72195474,2364.26195832,313.96749325,3312.255138,504.64751669,3145.34458917,1016.54099534,21454.26348846,-2674.795661,4004.69922819,674.53869654,556.18008957,-29.77680214,-32.24556852,-25.96571997,-10.84820938,-5.4772932,-1.73075143,-20.79682082,-4.48891633,-20.53703604,-22.20687375,-7.87042454,-0.30831531,8.0276461,-354.41792068,-68.33731734,-28.88634704,50.83546512,-14.67679608,-48.69218889,8.95370422,-24.36510836,35.88512464,2.90038061,-5.11510952,-0.26687468,-3.08546254,1.99683967,44.42648311,1.02925535,-0.53136555,2.07986386,-0.70409529,-3.6013516
"TripChains",15.9888316,1146.77480834,205.80306794,2893.03080707,28.0992758,-0.62044061,-0.29938243,-133.92297587,-298.71575822,-1.0739121,461.72052514,-0.04862383,15.12479826,1.06778149,22.55720292,2.62337184,17.4135642,3.55656754,173.37299044,0.37512478,16.77009917,-4.52372174,0.74495234,-0.03322388,-0.30781911,-0.03436621,-0.18810012,0.04286494,-0.01174758,0.00974052,0.1518169,0.01670369,0.15803715,-0.01462915,0.03476381,0.01900819,-1.80052155,-0.93975545,-0.88469911,0.21468527,-0.19356663,-0.16748743,0.02775767,-0.00108363,0.25905107,0.01679084,-0.00906838,-0.00333894,-0.00398219,0.03884882,0.28731049,0.00507612,0.01133253,0.1061763,0.06485324,0.01368579
"MilesPerTrip_n",-0.62608708,789.80130147,-15.22559495,855.24669402,-0.62044061,8.24802475,10.00566383,98.12780482,102.19170003,14.76770626,3.13364887,-0.01201322,-0.78596811,0.52308025,-0.96753194,0.53762155,-0.1196002,0.97798746,-41.54383993,-27.02255885,12.64732806,14.02956718,4.21764389,-0.49264285,0.10207997,-0.25845541,-0.0759203,-0.07121992,-0.03717517,-0.04829636,-0.04567786,-0.06205107,-0.18694636,-0.09040479,-0.07539621,-0.02605465,-1.27909702,0.11768351,0.32517388,0.00712757,-0.0926412,-0.20064222,0.0488868,-0.15435357,-0.06939814,-0.00028448,-0.01405497,-0.00124027,-0.00583306,-0.02157299,0.12488978,0.02325207,-0.00661078,-0.05780351,-0.04510476,-0.04955376
"MinutesPerTrip_n",-0.6778981,940.30605307,-23.67599243,1643.5876247,-0.29938243,10.00566383,18.10263861,115.45570393,189.92833366,9.37122561,70.34683358,-0.00361902,-1.96152534,-0.12555236,0.18881139,2.29186075,2.67779535,3.29727814,-49.38420657,-27.93881266,12.63677602,14.82858983,2.87667759,-0.27643678,-0.07983079,-0.09487438,0.16897732,0.01503809,0.10547253,-0.07991166,0.04788826,-0.05896533,-0.17159094,-0.05450681,-0.04485981,-0.0123055,-1.75555468,-0.237965,0.10250929,0.33605178,0.02676463,-0.31995834,-0.02919228,-0.0750889,0.12878115,0.00962953,-0.01846623,-0.00030187,-0.01251523,-0.02097956,0.18885573,0.03712386,0.01779665,0.00113635,-0.02856746,-0.0372865
"MilesPerChain_n",-19.64128997,7673.76402354,-513.66271935,4844.44421206,-133.92297587,98.12780482,115.45570393,2914.65651987,4880.55497923,189.00108607,-902.48419427,0.12132321,-17.84934487,18.10305934,-64.14399413,-9.68236276,-26.65987595,9.69001288,-773.66548166,-316.98194452,129.15871688,188.10320593,55.37107351,-5.89031918,4.14104545,-3.89342676,-1.01107403,-2.40465452,-1.93176813,-1.996611,-3.24143566,-2.07232966,-4.9756884,-1.57384219,-1.12722856,-0.43511246,-5.56537874,9.6212769,11.87019745,-1.12716585,0.04117691,-1.46546773,0.38751093,-3.61051743,-2.2436035,-0.07685276,-0.38965505,0.03546865,-0.08788866,-0.48403126,0.30374563,0.06248007,-0.1968222,-1.71236749,-1.34278234,-0.58283021
"MinutesPerChain_n",-34.7309631,5447.98748456,-1058.14380895,5910.22548633,-298.71575822,102.19170003,189.92833366,4880.55497923,10674.0702994,87.50684324,-1285.95757632,0.82233933,-47.73546975,22.08468486,-119.06670696,-10.42769779,-24.88355889,36.71100089,-1190.74868212,-271.80456215,76.94892452,195.81835757,42.78046418,-1.59639645,5.19284989,-2.68493667,2.40600276,-2.8340558,-1.72426226,-4.22288735,-5.00982038,-2.98375566,-7.33672279,-1.55697105,-0.77127937,-0.15001227,4.15704576,17.61404422,19.73902535,1.22995988,3.81886,-0.6074158,-1.30536133,-4.49779568,-1.84297663,-0.0411043,-0.64449422,0.05422837,-0.14485506,-0.74178479,-0.85187211,0.17406536,-0.10080292,-2.30537252,-2.15807873,-0.03285374
"Average_speed",-0.70651897,1508.83256243,-12.25449902,731.45499175,-1.0739121,14.76770626,9.37122561,189.00108607,87.50684324,42.99753914,-86.06537299,-0.04633891,1.01062697,2.36096948,-3.7006042,-1.8678463,-4.23744837,-1.53691808,-69.82957869,-55.12981317,29.37208228,30.27221768,11.77662279,-1.30283113,0.50326148,-0.88133953,-0.5593685,-0.27887546,-0.28961031,-0.09225287,-0.29551947,-0.2115776,-0.43798107,-0.27196497,-0.21988455,-0.07298141,-2.09762584,0.59958143,0.88683726,-0.51082951,-0.43669601,-0.26539678,0.20446476,-0.45478005,-0.45059284,-0.0172825,-0.03104498,0.00151371,-0.01323733,-0.06085443,0.16895944,0.02492282,-0.04527397,-0.20831704,-0.12106103,-0.13671411
